"person","item_MR05","item_MR01","item_MR08","item_MR07","item_MR02","item_MR03","item_MR04","item_MR10","item_MR09","item_MR06"
2045,0,1,0,0,0,0,0,0,0,0
2046,0,1,0,0,0,0,0,0,0,0
2047,1,1,0,1,1,1,1,1,1,0
2048,1,1,1,0,1,1,1,0,0,0
2049,1,1,0,0,1,0,1,0,1,0
2051,0,0,0,0,0,0,1,0,0,0
2055,1,1,0,0,0,0,0,0,0,0
2058,1,1,1,0,1,1,1,1,1,1
2059,0,0,0,0,0,0,0,0,0,0
2063,0,1,1,1,1,1,1,0,0,1
2064,1,1,1,1,1,1,1,1,1,1
2067,1,1,1,1,1,1,1,1,0,1
2069,0,1,0,0,0,0,0,0,0,0
2070,0,1,0,0,1,1,1,0,0,1
2071,0,0,0,0,0,0,0,0,0,0
2072,0,1,0,0,1,0,1,0,0,0
2073,0,0,1,0,1,0,1,1,1,1
2074,1,1,1,1,1,1,1,1,1,1
2076,1,1,1,1,1,1,1,1,1,1
2077,0,1,0,0,0,1,0,0,0,0
2078,1,1,1,1,1,1,1,0,1,1
2080,0,1,1,1,1,1,1,0,1,0
2081,1,1,1,0,1,1,1,1,1,1
2082,0,1,0,0,0,1,1,0,0,0
2083,1,1,1,1,0,1,0,1,1,1
2085,0,1,1,0,1,1,1,0,0,0
2087,0,1,0,0,0,0,0,0,0,0
2088,0,1,0,0,0,1,0,0,0,0
2089,0,0,0,0,0,0,0,0,0,0
2090,1,1,0,0,0,1,1,0,0,1
2091,0,1,0,0,0,1,0,0,0,0
2094,0,1,0,1,1,1,1,1,1,0
2095,0,1,0,0,0,0,0,0,0,0
2096,0,1,1,0,1,1,1,1,1,1
2097,0,0,0,0,0,0,0,0,0,0
2098,1,1,1,0,1,1,1,0,1,1
2099,1,1,1,0,1,1,1,0,1,1
2101,0,1,0,0,0,0,0,0,0,0
2102,0,1,1,0,1,1,1,1,1,1
2104,0,0,0,0,0,0,0,0,0,0
2105,0,1,0,1,1,0,0,1,0,1
2106,0,1,0,0,0,0,0,0,0,0
2108,1,1,1,0,1,1,1,1,0,1
2109,0,1,0,0,0,1,0,0,0,1
2111,1,1,1,1,1,1,1,1,0,1
2112,0,1,0,0,1,1,1,1,1,1
2113,0,1,1,1,1,1,1,0,0,0
2115,0,1,1,0,0,1,1,0,1,0
2116,0,1,0,0,0,0,0,0,0,0
2117,0,1,0,0,1,0,1,0,0,0
2118,1,1,1,1,1,1,0,0,0,0
2119,0,0,0,0,0,0,0,0,0,0
2120,0,0,0,0,0,0,0,0,0,0
2121,0,1,1,1,1,1,1,0,1,1
2122,0,1,0,0,0,0,1,0,0,0
2123,0,1,0,0,1,1,1,0,0,0
2127,1,1,1,1,1,1,1,0,1,1
2129,1,1,1,0,1,1,0,0,0,0
2130,0,0,0,0,0,0,0,0,0,0
2131,1,1,1,1,1,1,1,0,1,1
2132,1,1,1,0,1,1,1,0,0,1
2134,0,0,0,0,0,0,0,0,0,0
2135,0,0,0,0,0,0,0,0,0,0
2136,0,0,0,0,0,0,0,0,0,0
2137,1,0,1,0,1,1,1,1,1,0
2138,0,0,0,0,0,0,1,0,0,0
2139,1,0,0,1,0,1,1,0,1,1
2140,0,1,0,0,0,0,0,0,0,0
2141,0,1,0,0,0,0,0,0,0,0
2142,1,1,1,0,1,1,1,0,1,0
2143,0,1,0,0,0,0,0,0,0,0
2144,1,1,1,1,1,1,1,1,1,1
2145,0,1,0,0,0,0,0,0,0,0
2147,0,0,0,0,0,0,0,0,0,0
2148,0,0,0,0,0,0,0,0,0,0
2149,1,1,0,1,1,1,1,1,1,1
2150,0,0,0,0,0,0,0,0,0,0
2151,1,1,1,0,1,1,1,1,0,0
2152,0,1,0,0,0,1,1,0,0,0
2153,0,0,0,0,0,0,0,0,0,0
2155,1,1,0,0,0,1,0,0,0,0
2157,0,1,0,0,1,0,0,0,0,0
2158,1,1,1,1,1,1,1,0,1,1
2159,1,1,0,0,1,1,1,0,0,0
2160,1,1,0,0,1,1,0,0,0,0
2161,0,1,0,0,0,0,0,0,0,0
2163,0,1,0,0,0,0,0,0,0,0
2165,1,1,1,0,1,1,1,1,0,1
2166,0,1,0,0,0,0,0,0,0,0
2167,0,1,0,0,0,0,0,0,0,0
2168,1,1,1,0,0,0,1,0,0,1
2169,1,1,1,0,1,1,0,0,1,1
2170,0,0,0,0,0,0,0,0,0,0
2171,0,1,1,1,1,0,0,1,1,0
2172,0,0,0,0,0,0,0,0,0,0
2173,1,1,1,0,1,1,1,0,0,1
2174,0,1,0,0,0,0,0,0,0,0
2176,0,1,1,0,1,0,0,1,0,1
2177,0,0,0,0,0,0,0,0,0,0
2178,0,1,0,0,0,1,0,0,0,0
2180,0,1,0,0,1,1,0,0,0,1
2181,1,1,1,1,1,1,1,0,1,1
2182,0,1,0,1,0,1,0,0,0,0
2183,0,1,0,1,1,1,1,0,1,1
2184,0,0,0,0,0,0,0,0,0,0
2185,0,1,0,0,1,1,1,0,0,1
2186,0,0,0,0,0,0,0,0,0,0
2188,0,1,0,0,0,0,0,0,0,1
2189,0,1,0,0,0,1,0,0,1,0
2190,0,1,0,0,0,0,0,0,0,0
2191,0,1,0,0,0,0,0,0,0,0
2193,0,1,0,1,1,0,1,0,0,0
2194,1,1,1,1,0,1,1,0,0,0
2195,1,1,1,1,1,1,1,1,1,1
2196,0,1,0,0,0,0,0,0,0,0
2197,0,1,0,0,0,0,0,0,0,0
2198,1,1,1,1,1,1,1,1,1,1
